expression,reading,meaning,tags,guid
肝心,かんじん,"중요함, 요긴함",JLPT_1 JLPT,dSA4J*LoN^
カンニング,カンニング,커닝,JLPT_1 JLPT,c[uZ2#f[2Q
危害,きがい,위해,JLPT_1 JLPT,"-<i?gIyn,x"
気掛かり,きがかり,"걱정, 마음에 걸림",JLPT_1 JLPT,@4EZ9u3ju1
規格,きかく,규격,JLPT_1 JLPT,"?&xA1,rw`%"
きがね,きがね,"어렵게 여김, 스스럼",JLPT_1 JLPT,"$+$sB?VJa,"
ぎくしゃく,ぎくしゃく,"껄끄러움, 어색함",JLPT_1 JLPT,ngL<4nFxFY
棄権,きけん,기권,JLPT_1 JLPT,AO^L^&Z1h}
きしむ,きしむ,삐걱거리다,JLPT_1 JLPT,!wRX#a[kLG
規制,きせい,규제,JLPT_1 JLPT,:B||bW85i_
きっちり,きっちり,꼭 맞는 모양,JLPT_1 JLPT,zRiz`_Ro-n
きっぱり(と),きっぱり(と),"딱 잘라, 단호하게",JLPT_1 JLPT,ckn_#@0^$-
気に障る,きにさわる,비위에 거슬리다,JLPT_1 JLPT,[y(oNAuO3o
規範,きはん,규범,JLPT_1 JLPT,NdMspV=->{
基盤,きばん,기반,JLPT_1 JLPT,8j{x9&4BC#
気品,きひん,기품,JLPT_1 JLPT,TC=Y-STRpi
起伏,きふく,기복,JLPT_1 JLPT,ky3+b$6<0%
却下,きゃっか,"각하, 기각",JLPT_1 JLPT,(CGsbg=Y32
キャリア,キャリア,"커리어, 경력",JLPT_1 JLPT,P|c(!A@NO%
急速,きゅうそく,"급히, 갑작스럽게",JLPT_1 JLPT,+t9?+G5R93
休養,きゅうよう,휴양,JLPT_1 JLPT,|nMC!Nyu`)
寄与,きよ,기여,JLPT_1 JLPT,z.V[V`Ajp0
起用,きよう,기용,JLPT_1 JLPT,|EJ.ZdUUZ}
教訓,きょうくん,교훈,JLPT_1 JLPT,6SxiJrFk9_
強硬,きょうこう,강경함,JLPT_1 JLPT,G]]/D#q7M1
興じる,きょうじる,"즐기다, 흥겨워하다",JLPT_1 JLPT,Gi~*N.<v0d
強制,きょうせい,강제,JLPT_1 JLPT,1`VS/NOW(Q
切り出す,きりだす,"(말을) 꺼내다, 시작하다",JLPT_1 JLPT,9DdskY1<f;
緊急,きんきゅう,긴급,JLPT_1 JLPT,"EW2K8mNPZ,"
禁物,きんもつ,금물,JLPT_1 JLPT,Re8?e(uEI^
食い込む,くいこむ,"파고들다, 차지하다",JLPT_1 JLPT,O:OaJooJAg
食い止める,くいとめる,저지하다,JLPT_1 JLPT,Ea-$|E]roP
駆使する,くしする,구사하다,JLPT_1 JLPT,(>Q-|&xF*g
くだす,くだす,① (지위) 낮추다 ② (명령) 내리다,JLPT_1 JLPT,KxV%$vecWX
口がかたい,くちがかたい,입이 무겁다,JLPT_1 JLPT,=W2P99jEoA
覆す,くつがえす,뒤엎다,JLPT_1 JLPT,m5g%&Ug{-1
ぐっすり,ぐっすり,푹(깊은 잠을 자는 모양),JLPT_1 JLPT,<ZxkO;7|1e
くよくよ,くよくよ,끙끙(사소한 일을 늘 걱정하는 모양),JLPT_1 JLPT,gaM7i!]lBZ
クレーム,クレーム,"불만, 클레임",JLPT_1 JLPT,p3@/pf4]NL
経緯,けいい,경위,JLPT_1 JLPT,?`.#LZ:wsJ
軽快,けいかい,경쾌함,JLPT_1 JLPT,$5R3%716e_
形勢,けいせい,형세,JLPT_1 JLPT,`9H!+=s;Ow
経歴,けいれき,경력,JLPT_1 JLPT,D@Qly1VCY(
結成,けっせい,결성,JLPT_1 JLPT,CIwP^oU.IP
結束,けっそく,결속,JLPT_1 JLPT,",S,+$,yj=^"
けなす,けなす,"혹평하다, 헐뜯다",JLPT_1 JLPT,I8hg/^`E7f
煙たい,けむたい,"냅다, 맵고 싸하다",JLPT_1 JLPT,CVuqw)T/FY
～圏,～けん,~권,JLPT_1 JLPT,"4,$N$)FE;O"
権威,けんい,권위,JLPT_1 JLPT,"fq,{q7uCUc"
言及,げんきゅう,언급,JLPT_1 JLPT,(s~3>F^/EJ
堅実,けんじつ,견실함,JLPT_1 JLPT,/)YwMAP>eA
健全,けんぜん,건전함,JLPT_1 JLPT,7R3V8tGl/.
厳密,げんみつ,엄밀함,JLPT_1 JLPT,G%11CFb&(6
合意,ごうい,합의,JLPT_1 JLPT,-(T<]#pZ1>
抗議,こうぎ,항의,JLPT_1 JLPT,tZ9etH1GRI
交錯,こうさく,"교차, 뒤얽힘",JLPT_1 JLPT,"Q,xsjaaK~8"
交渉,こうしょう,교섭,JLPT_1 JLPT,sVVwtP6Z>*
向上,こうじょう,향상,JLPT_1 JLPT,:m[2:a68&4
考慮,こうりょ,고려,JLPT_1 JLPT,EtZN/hW@Gx
互角,ごかく,"호각, 막상막하",JLPT_1 JLPT,`}ny2O@a%E
ここちよい,ここちよい,기분 좋다,JLPT_1 JLPT,"1!-W,;SK`3"
心得,こころえ,"소양, 이해",JLPT_1 JLPT,VFQFX*Wtv{
心がける,こころがける,유의하다,JLPT_1 JLPT,^g.^((^T:|
心強い,こころづよい,마음 든든하다,JLPT_1 JLPT,*K~~%uy:J~
心細い,こころぼそい,불안하다,JLPT_1 JLPT,^{}{hO~$He
こじれる,こじれる,"뒤틀리다, 복잡해지다",JLPT_1 JLPT,Tp#d)r}*:6
こだわる,こだわる,구애되다,JLPT_1 JLPT,H!=F@?RGD.
誇張,こちょう,과장,JLPT_1 JLPT,KMaM/+KG@5
こつ,こつ,요령,JLPT_1 JLPT,q=UXU:8W%(
ことごとく,ことごとく,"모조리, 죄다",JLPT_1 JLPT,"**_,*8k,w>"
ことによると,ことによると,어쩌면,JLPT_1 JLPT,3X;DLw6ER[
ごまかす,ごまかす,"속이다, 얼버무리다",JLPT_1 JLPT,Xfe;WFKKj@
こまやか,こまやか,"자상함, 세밀함",JLPT_1 JLPT,^O|1@L^zee
こみあげる,こみあげる,치밀어 오르다,JLPT_1 JLPT,O}YH!W[|ur
コミュニケーション,コミュニケーション,커뮤니케이션,JLPT_1 JLPT,woQcCCQY[|
こめる,こめる,"넣다, 담다",JLPT_1 JLPT,a3x!Af:$N=
孤立,こりつ,고립,JLPT_1 JLPT,eJiA:`Q#~M
これといった,これといった,이렇다 할,JLPT_1 JLPT,"e_4{//yB,]"
ごろごろ(と),ごろごろ(と),데굴데굴,JLPT_1 JLPT,M|>ciyT9??
コンスタントに,コンスタントに,꾸준히,JLPT_1 JLPT,6lP{@{?h/.
根底,こんてい,"근저, 근본",JLPT_1 JLPT,Pf8z3|f[O^
サイクル,サイクル,"사이클, 주기",JLPT_1 JLPT,fzhrY!m5vq
在庫,ざいこ,재고,JLPT_1 JLPT,2q[YPZ@&#h
サイズ,サイズ,사이즈,JLPT_1 JLPT,]+fiDQS+CZ
再発,さいはつ,재발,JLPT_1 JLPT,;5mef3NrS+
さえる,さえる,(머리가) 맑아지다,JLPT_1 JLPT,tM%jN0wM5-
差し支える,さしつかえる,지장이 있다,JLPT_1 JLPT,O{eBJ&B/Hx
さじをなげる,さじをなげる,가망이 없어 포기하다,JLPT_1 JLPT,Xc{df%D.]c
察する,さっする,헤아리다,JLPT_1 JLPT,"8?t-[t?#i,"
さも,さも,"자못, 아주, 정말로",JLPT_1 JLPT,q`m~Y/Z(1a
参照,さんしょう,참조,JLPT_1 JLPT,e3$hN{q=>C
仕上げる,しあげる,완성하다,JLPT_1 JLPT,nf9V^Uon2)
しいて,しいて,"억지로, 굳이, 구태여",JLPT_1 JLPT,suVnp5W{fM
シェア,シェア,점유율,JLPT_1 JLPT,9ngF}Z-(vr
自覚,じかく,자각,JLPT_1 JLPT,Pd<iqXRB;M
しかけ,しかけ,"장치, 속임수",JLPT_1 JLPT,;;%4KaZv}m
時期,じき,시기,JLPT_1 JLPT,vpk&4-rZTl
仕組み,しくみ,구조(=メカニズム),JLPT_1 JLPT,.^vSmOpW+>
支障,ししょう,지장,JLPT_1 JLPT,!.?;jd<Tzo
辞退,じたい,사퇴,JLPT_1 JLPT,TdunQRepU;
シック,シック,"멋진 모양, 세련된 모양",JLPT_1 JLPT,8ib_m/mR7m
実情,じつじょう,실정,JLPT_1 JLPT,ejyz>)3/|_
しぶとい,しぶとい,고집이 세다,JLPT_1 JLPT,x~?{NY>Kw<
染みる,しみる,"스며들다, 배다",JLPT_1 JLPT,bF@7sb+esr
じめじめ,じめじめ,"축축, 끈적끈적(습기가 많은 모양)",JLPT_1 JLPT,V>Ak{a|kz%
視野,しや,시야,JLPT_1 JLPT,tlN9HQe(n`
遮断,しゃだん,차단,JLPT_1 JLPT,DQ0G8VzgX2
ジャンル,ジャンル,장르,JLPT_1 JLPT,Czq2NW}49w
従事,じゅうじ,종사,JLPT_1 JLPT,=TRMV+Jd9A
周到な,しゅうとうな,주도면밀한,JLPT_1 JLPT,+z`Ovn~JQ;
修復,しゅうふく,"수복, 복원",JLPT_1 JLPT,6nTMc~Lt=d
収容,しゅうよう,수용,JLPT_1 JLPT,~lo2Rgo@$*
熟知,じゅくち,숙지,JLPT_1 JLPT,o;F0:ziHPD
主張,しゅちょう,주장,JLPT_1 JLPT,cSy:c{8E{2
主導権,しゅどうけん,주도권,JLPT_1 JLPT,^%5P@-8.^9
(情報)網,(じょうほう)もう,(정보)망,JLPT_1 JLPT,@g{oS.@6E(
処置,しょち,"처치, 조치",JLPT_1 JLPT,rGW5Qx8M_3
助長する,じょちょうする,조장하다,JLPT_1 JLPT,A6D]qcgX9U
自立,じりつ,자립,JLPT_1 JLPT,LM{?-npynA
しわざ,しわざ,"짓, 소행",JLPT_1 JLPT,"3_:Y~71Ct,"
迅速,じんそく,신속함,JLPT_1 JLPT,5g3*M$^=F/
進呈,しんてい,"증정, 드림",JLPT_1 JLPT,YC5T;{5]iN
推移,すいい,추이,JLPT_1 JLPT,:yKgrv$:)L
すがすがしい,すがすがしい,상쾌하다,JLPT_1 JLPT,ciJ>sPPa3!
すくう,すくう,"떠내다, 건져 올리다",JLPT_1 JLPT,|}^zKz9mDY
すさまじい,すさまじい,"무섭다, 굉장하다",JLPT_1 JLPT,*M%i)PXue4
スタイル,スタイル,스타일,JLPT_1 JLPT,7!H!AzBX3w
ずっしりと,ずっしりと,묵직한,JLPT_1 JLPT,/~5yz{]%t{
ストック,ストック,재고,JLPT_1 JLPT,]p0pZ<neS.
すばしこい,すばしこい,민첩하다,JLPT_1 JLPT,g$7|L[%`~l
スペース,スペース,공간,JLPT_1 JLPT,"vTCY,BtwDw"
すべすべ,すべすべ,(피부가) 매끈매끈,JLPT_1 JLPT,0Ic`-~ODbT
すんなり,すんなり,"척척, 순조롭게",JLPT_1 JLPT,>_w.GqhTYo
制限,せいげん,제한,JLPT_1 JLPT,.<^17%r+`w
盛大に,せいだいに,성대하게,JLPT_1 JLPT,!Kv#r5+Ao-
精力的,せいりょくてき,정력적임,JLPT_1 JLPT,uLbd]@/[J(
せかせかと,せかせかと,"성급하게, 침착하지 못하게",JLPT_1 JLPT,`s7bn.#o:n
切実,せつじつ,절실함,JLPT_1 JLPT,d{hu1EDop.
摂取,せっしゅ,섭취,JLPT_1 JLPT,|xmw{rZayr
